QuantityX; Name; Edition; Foil; CMC; Mana Cost; Quantity; Toughness; Power; Rarity; Price (total); Card Type; Card Text; Card Rulings
1x; Regeneration; Tenth Edition; ; 2; 1G; 1; 0; 0; U; 0.31968; Enchantment - Aura; "Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
{G}: Regenerate enchanted creature. (The next time that creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)"; ""
1x; Flash Foliage; Dissension; ; 3; 2G; 1; 0; 0; U; 0.31968; Instant; "Cast this spell only during combat after blockers are declared.
Create a 1/1 green Saproling creature token that's blocking target creature attacking you.
Draw a card."; "• The Saproling token is blocking the attacking creature, even if the block couldn't legally be declared (for example, if the attacking creature has flying, or is Vindictive Mob).
• Putting a blocking creature onto the battlefield doesn't trigger When this creature blocks abilities. It also won't check blocking restrictions, costs, or requirements.
• Putting a blocking creature onto the battlefield will trigger When this creature becomes blocked by a creature abilities. It may trigger When this creature becomes blocked abilities, but only if the creature the Saproling is blocking had not yet been blocked that combat.
• The target creature can be blocked by other creatures.
• Flash Foliage can be cast only during an opponent's combat phase, after attackers have been declared. If it's cast after combat damage is dealt, the Saproling will enter the battlefield blocking the attacking creature, but will neither deal combat damage to it nor be dealt combat damage by it.
• With the latest Oracle update, you can only cast this during combat, after blockers have been declared.
• If a turn has multiple combat phases, this spell can be cast during any of them as long as it's after the beginning of that phase's Declare Blockers Step."
1x; Hunger of the Howlpack; Conspiracy; ; 1; G; 1; 0; 0; C; 0.31968; Instant; "Put a +1/+1 counter on target creature.
Morbid - Put three +1/+1 counters on that creature instead if a creature died this turn."; ""
1x; Might of the Nephilim; Dissension; ; 2; 1G; 1; 0; 0; U; 0.31968; Instant; "Target creature gets +2/+2 until end of turn for each of its colors."; ""
1x; Fertile Imagination; Dissension; ; 4; 2GG; 1; 0; 0; U; 0.31968; Sorcery; "Choose a card type. Target opponent reveals their hand. Create two 1/1 green Saproling creature tokens for each card of the chosen type revealed this way. (Artifact, creature, enchantment, instant, land, planeswalker, sorcery, and tribal are card types.)"; ""
1x; Rain of Thorns; Commander 2013 Edition; ; 6; 4GG; 1; 0; 0; U; 0.31968; Sorcery; "Choose one or more -
 Destroy target artifact.
 Destroy target enchantment.
 Destroy target land."; "• You can choose just one mode, any two of the modes, or all three. You make this choice as you cast Rain of Thorns."
1x; Arachnoid; Fifth Dawn; ; 6; 6; 1; 6; 2; U; 0.31968; Artifact Creature - Spider; "Reach (This creature can block creatures with flying.)"; ""
1x; Arcbound Lancer; Darksteel; ; 7; 7; 1; 0; 0; U; 0.31968; Artifact Creature - Beast; "First strike
Modular 4 (This enters the battlefield with four +1/+1 counters on it. When it dies, you may put its +1/+1 counters on target artifact creature.)"; "• If this creature gets enough -1/-1 counters put on it to cause its toughness to be 0 or less (or the damage marked on it to be lethal), modular will put a number of +1/+1 counters on the target artifact creature equal to the number of +1/+1 counters on this creature before it left the battlefield."
1x; Death-Mask Duplicant; Darksteel; ; 7; 7; 1; 5; 5; U; 0.31968; Artifact Creature - Shapeshifter; "Imprint - {1}: Exile target creature card from your graveyard.
As long as a card exiled with Death-Mask Duplicant has flying, Death-Mask Duplicant has flying. The same is true for fear, first strike, double strike, haste, landwalk, protection, and trample."; "• Death-Mask Duplicant has an activated imprint ability. This ability can be activated any number of times, so multiple creature cards can become imprinted on this creature.
• Death-Mask Duplicant gains all landwalk and protection abilities of the imprinted creature cards. If Death-Mask Duplicant imprints a card with protection from red and a card with protection from creatures, it has protection from red and from creatures."
1x; Lunar Avenger; Fifth Dawn; ; 7; 7; 1; 2; 2; U; 0.31968; Artifact Creature - Golem; "Sunburst (This enters the battlefield with a +1/+1 counter on it for each color of mana spent to cast it.)
Remove a +1/+1 counter from Lunar Avenger: Lunar Avenger gains your choice of flying, first strike, or haste until end of turn."; "• You choose whether Lunar Avenger gains flying, first strike, or haste when the activated ability resolves."
1x; Angel's Feather; Darksteel; ; 2; 2; 1; 0; 0; U; 0.31968; Artifact; "Whenever a player casts a white spell, you may gain 1 life."; "• The ability triggers whenever any player, not just you, casts a white spell.
• If a player casts a white spell, Angel's Feather's ability triggers and is put on the stack on top of that spell. Angel's Feather's ability will resolve (causing you to gain 1 life) before the spell does."
1x; Chimeric Coils; Fifth Dawn; ; 1; 1; 1; 0; 0; U; 0.31968; Artifact; "{X}{1}: Chimeric Coils becomes an X/X Construct artifact creature. Sacrifice it at the beginning of the next end step."; "• If X is 0, Chimeric Coils becomes a 0/0 creature and is put into its owner's graveyard.
• A noncreature permanent that turns into a creature can attack, and its {T} abilities can be activated, only if its controller has continuously controlled that permanent since the beginning of their most recent turn. It doesn't matter how long the permanent has been a creature."
1x; Chimeric Egg; Darksteel; ; 3; 3; 1; 0; 0; U; 0.31968; Artifact; "Whenever an opponent casts a nonartifact spell, put a charge counter on Chimeric Egg.
Remove three charge counters from Chimeric Egg: Chimeric Egg becomes a 6/6 Construct artifact creature with trample until end of turn."; "• A noncreature permanent that turns into a creature can attack, and its {T} abilities can be activated, only if its controller has continuously controlled that permanent since the beginning of their most recent turn. It doesn't matter how long the permanent has been a creature."
2x; Dreamstone Hedron; Commander 2014; ; 6; 6; 2; 0; 0; U; 0.63936; Artifact; "{T}: Add {C}{C}{C}.
{3}, {T}, Sacrifice Dreamstone Hedron: Draw three cards."; ""
1x; Goblin Cannon; Fifth Dawn; ; 4; 4; 1; 0; 0; U; 0.31968; Artifact; "{2}: Goblin Cannon deals 1 damage to any target. Sacrifice Goblin Cannon."; "• You can activate Goblin Cannon's ability multiple times in response to the first activation. Goblin Cannon will be sacrificed the first time the ability resolves, but each activation still deals damage when it resolves."
1x; Isolation Cell; New Phyrexia; ; 4; 4; 1; 0; 0; U; 0.31968; Artifact; "Whenever an opponent casts a creature spell, that player loses 2 life unless they pay {2}."; ""
2x; Izzet Keyrune; Return to Ravnica; ; 3; 3; 2; 0; 0; U; 0.63936; Artifact; "{T}: Add {U} or {R}.
{U}{R}: Until end of turn, Izzet Keyrune becomes a 2/1 blue and red Elemental artifact creature.
Whenever Izzet Keyrune deals combat damage to a player, you may draw a card. If you do, discard a card."; "• If Izzet Keyrune becomes a creature in a way other than its own activated ability, its last ability will still work.
• Until the ability that turns the Keyrune into a creature resolves, the Keyrune is colorless.
• Activating the ability that turns the Keyrune into a creature while it's already a creature will override any effects that set its power and/or toughness to another number, but effects that modify power and/or toughness without directly setting them will still apply."
1x; Relic Barrier; Fifth Dawn; ; 2; 2; 1; 0; 0; U; 0.31968; Artifact; "{T}: Tap target artifact."; "• Can target a tapped artifact."
1x; Rogue's Gloves; Magic 2015; ; 2; 2; 1; 0; 0; U; 0.31968; Artifact - Equipment; "Whenever equipped creature deals combat damage to a player, you may draw a card.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"; ""
1x; Skullmead Cauldron; Dissension; ; 4; 4; 1; 0; 0; U; 0.31968; Artifact; "{T}: You gain 1 life.
{T}, Discard a card: You gain 3 life."; ""
1x; Thunderstaff; Commander 2013 Edition; ; 3; 3; 1; 0; 0; U; 0.31968; Artifact; "As long as Thunderstaff is untapped, if a creature would deal combat damage to you, prevent 1 of that damage.
{2}, {T}: Attacking creatures get +1/+0 until end of turn."; "• If Thunderstaff is untapped, it prevents 1 damage from each creature, each time it would deal combat damage to you. So if three creatures with double strike attack you and aren't blocked, Thunderstaff will prevent a total of 6 damage."
